Characteristic,Category,Percentage of population age 0-4,Percentage of population age 5-9,Percentage of population age 10-14,Percentage of population age 15-19,Percentage of population age 20-24,Percentage of population age 25-29,Percentage of population age 30-34,Percentage of population age 35-39,Percentage of population age 40-44,Percentage of population age 45-49,Percentage of population age 50-54,Percentage of population age 55-59,Percentage of population age 60-64,Percentage of population age 65-69,Percentage of population age 70-74,Percentage of population age 75-79,Percentage of population age 80 +,Dependency age group 0-14,Dependency age group 15-64,Dependency age group 65+,Child population 0-17,Adult population 18+,Adolescents 10-19
  Benue,Total,17.55,14.4,9.85,10.2,8.55,8.65,7.25,6.15,3.7,4.6,1.95,2,1.4,1.45,0.6,0.9,0.75,41.8,54.5,3.7,47.9,52.1,20.05
  Benue,Male,18.8,14.1,10.1,9.8,6.6,6.9,8.6,7,3.8,4.1,2.1,2.2,1.8,1.8,0.6,0.8,0.7,43,53.1,3.9,48.9,51.1,19.9
  Benue,Female,16.3,14.7,9.6,10.6,10.5,10.4,5.9,5.3,3.6,5.1,1.8,1.8,1,1.1,0.6,1,0.8,40.6,55.9,3.5,46.9,53.1,20.2
  Kogi,Total,14.7,15,11.35,10.9,7.45,7.35,6.05,5.8,4.05,4.7,2.45,2.45,2,1.7,1.5,0.9,1.65,41,53.2,5.8,47.05,52.95,22.25
  Kogi,Male,16,16.2,12.7,10,7.2,6.5,6.4,5.5,3.8,4.2,3.1,1.8,1.8,1.5,1.4,0.8,1.2,44.8,50.3,5,50.1,49.9,22.7
  Kogi,Female,13.4,13.8,10,11.8,7.7,8.2,5.7,6.1,4.3,5.2,1.8,3.1,2.2,1.9,1.6,1,2.1,37.2,56.1,6.6,44,56,21.8
  Kwara,Total,15.8,17.7,12.45,8.45,6.15,6.65,5.7,5.65,4.3,3.65,3.15,2.05,2.3,1.5,2.1,0.95,1.4,45.95,48.15,5.9,51.4,48.6,20.9
  Kwara,Male,16,17.7,13.8,8.5,5.9,6.1,5.6,4.9,4.6,3.4,3.4,1.7,2.4,1.8,1.6,1.1,1.4,47.5,46.7,5.8,52.7,47.3,22.3
  Kwara,Female,15.6,17.7,11.1,8.4,6.4,7.2,5.8,6.4,4,3.9,2.9,2.4,2.2,1.2,2.6,0.8,1.4,44.4,49.6,6,50.1,49.9,19.5
  Nasarawa,Total,17.1,15.15,12.4,8.95,7.6,8.2,6.45,6.15,3.9,3.75,2.8,1.75,1.7,1.55,0.85,0.85,0.8,44.65,51.25,4.05,49.7,50.25,21.35
  Nasarawa,Male,16.7,16.4,12.9,8.3,6.4,6.7,7,6.4,3.9,4,2.9,1.6,2.1,1.8,0.7,1.1,0.9,46,49.4,4.6,51,49,21.2
  Nasarawa,Female,17.5,13.9,11.9,9.6,8.8,9.7,5.9,5.9,3.9,3.5,2.7,1.9,1.3,1.3,1,0.6,0.7,43.3,53.1,3.5,48.4,51.5,21.5
